name,team,market_value_eur,player_id,dob,age,market_value,tm_player_id,nationality,last_update
Fabricio Bustos,CA River Plate,3800000,275381,1996-04-28,29,3800000,275381,,2025-10-17
Kevin Castaño,CA River Plate,8000000,857948,2000-09-29,25,8000000,857948,,2025-10-17
Enzo Pérez,CA River Plate,250000,56066,1986-02-22,39,250000,56066,,2025-10-17
Giuliano Galoppo,CA River Plate,4700000,567249,1999-06-18,26,4700000,567249,,2025-10-17
Matías Galarza Fonda,CA River Plate,3500000,661269,2002-02-11,23,3500000,661269,,2025-10-17
Santiago Lencina,CA River Plate,2500000,1289929,2005-09-04,20,2500000,1289929,,2025-10-17
Juan Fernando Quintero,CA River Plate,2000000,122582,1993-01-18,32,2000000,122582,,2025-10-17
Gonzalo Martínez,CA River Plate,1000000,281405,1993-06-13,32,1000000,281405,,2025-10-17
Nacho Fernández,CA River Plate,350000,50669,1990-01-12,35,350000,50669,,2025-10-17
Juan Cruz Meza,CA River Plate,300000,1231221,2008-03-14,17,300000,1231221,,2025-10-17
Maximiliano Meza,CA River Plate,2200000,282476,1992-12-15,32,2200000,282476,,2025-10-17
Ian Subiabre,CA River Plate,1200000,1074969,2007-01-01,18,1200000,1074969,,2025-10-17
Maximiliano Salas,CA River Plate,6000000,442231,1997-12-01,27,6000000,442231,,2025-10-17
Facundo Colidio,CA River Plate,6000000,491705,2000-01-04,25,6000000,491705,,2025-10-17
Sebastián Driussi,CA River Plate,6000000,294853,1996-02-09,29,6000000,294853,,2025-10-17
Miguel Borja,CA River Plate,2800000,211397,1993-01-26,32,2800000,211397,,2025-10-17
Agustín Ruberto,CA River Plate,2500000,1000688,2006-01-14,19,2500000,1000688,,2025-10-17
Bautista Dadín,CA River Plate,250000,1000691,2006-05-20,19,250000,1000691,,2025-10-17
Leandro Brey,CA Boca Juniors,1500000,982633,2002-09-21,23,1500000,982633,,2025-10-17
Agustín Marchesín,CA Boca Juniors,700000,54534,1988-03-16,37,700000,54534,,2025-10-17
Javier García,CA Boca Juniors,25000,7966,1987-01-29,38,25000,7966,,2025-10-17
Marco Pellegrino,CA Boca Juniors,4000000,776303,2002-07-18,23,4000000,776303,,2025-10-17
Lautaro Di Lollo,CA Boca Juniors,4000000,1019744,2004-03-10,21,4000000,1019744,,2025-10-17
Ayrton Costa,CA Boca Juniors,3200000,842910,1999-07-12,26,3200000,842910,,2025-10-17
Nicolás Figal,CA Boca Juniors,500000,334055,1994-04-03,31,500000,334055,,2025-10-17
Cristian Lema,CA Boca Juniors,125000,147128,1990-03-24,35,125000,147128,,2025-10-17
Mateo Mendía,CA Boca Juniors,100000,1197773,2004-02-03,21,100000,1197773,,2025-10-17
Lautaro Blanco,CA Boca Juniors,3800000,831161,1999-02-19,26,3800000,831161,,2025-10-17
Frank Fabra,CA Boca Juniors,200000,156561,1991-02-22,34,200000,156561,,2025-10-17
Juan Barinaga,CA Boca Juniors,3000000,701491,2000-10-10,25,3000000,701491,,2025-10-17
Lucas Blondel,CA Boca Juniors,1500000,503348,1996-09-14,29,1500000,503348,,2025-10-17
Luis Advíncula,CA Boca Juniors,300000,103890,1990-03-02,35,300000,103890,,2025-10-17
Leandro Paredes,CA Boca Juniors,5000000,166237,1994-06-29,31,5000000,166237,,2025-10-17
Milton Delgado,CA Boca Juniors,5000000,1236677,2005-06-16,20,5000000,1236677,,2025-10-17
Tomás Belmonte,CA Boca Juniors,4000000,483446,1998-05-27,27,4000000,483446,,2025-10-17
Ignacio Miramón,CA Boca Juniors,1500000,836518,2003-06-12,22,1500000,836518,,2025-10-17
Rodrigo Battaglia,CA Boca Juniors,900000,89297,1991-07-12,34,900000,89297,,2025-10-17
Camilo Rey Domenech,CA Boca Juniors,500000,1000671,2006-03-10,19,500000,1000671,,2025-10-17
Williams Alarcón,CA Boca Juniors,5000000,599552,2000-11-29,24,5000000,599552,,2025-10-17
Ander Herrera,CA Boca Juniors,500000,99343,1989-08-14,36,500000,99343,,2025-10-17
Malcom Braida,CA Boca Juniors,3500000,552185,1997-05-17,28,3500000,552185,,2025-10-17
Carlos Palacios,CA Boca Juniors,4000000,571219,2000-07-20,25,4000000,571219,,2025-10-17
Agustín Martegani,CA Boca Juniors,700000,732507,2000-05-20,25,700000,732507,,2025-10-17
Kevin Zenón,CA Boca Juniors,7000000,829966,2001-07-30,24,7000000,829966,,2025-10-17
Brian Aguirre,CA Boca Juniors,4000000,668549,2003-01-06,22,4000000,668549,,2025-10-17
Alan Velasco,CA Boca Juniors,3500000,661154,2002-07-27,23,3500000,661154,,2025-10-17
Lucas Janson,CA Boca Juniors,300000,238448,1994-08-16,31,300000,238448,,2025-10-17
Exequiel Zeballos,CA Boca Juniors,4500000,661132,2002-04-24,23,4500000,661132,,2025-10-17
Miguel Merentiel,CA Boca Juniors,6500000,481367,1996-02-24,29,6500000,481367,,2025-10-17
Milton Giménez,CA Boca Juniors,3500000,730779,1996-08-12,29,3500000,730779,,2025-10-17
Edinson Cavani,CA Boca Juniors,500000,48280,1987-02-14,38,500000,48280,,2025-10-17
Tomás Marchiori,CA Vélez Sarsfield,3800000,596909,1995-06-20,30,3800000,596909,,2025-10-17
Álvaro Montero,CA Vélez Sarsfield,1500000,292985,1995-03-29,30,1500000,292985,,2025-10-17
Lautaro Garzón,CA Vélez Sarsfield,125000,1171751,2003-07-30,22,125000,1171751,,2025-10-17
Emanuel Mammana,CA Vélez Sarsfield,2800000,275512,1996-02-10,29,2800000,275512,,2025-10-17
Aarón Quirós,CA Vélez Sarsfield,2700000,881010,2001-10-31,23,2700000,881010,,2025-10-17
Lisandro Magallán,CA Vélez Sarsfield,1500000,66736,1993-09-27,32,1500000,66736,,2025-10-17
Elías Gómez,CA Vélez Sarsfield,1300000,302139,1994-06-09,31,1300000,302139,,2025-10-17
Tomás Cavanagh,CA Vélez Sarsfield,125000,832090,2001-01-05,24,125000,832090,,2025-10-17
Joaquín García,CA Vélez Sarsfield,3000000,829433,2001-08-20,24,3000000,829433,,2025-10-17
Jano Gordon,CA Vélez Sarsfield,1200000,1285237,2004-06-16,21,1200000,1285237,,2025-10-17
Agustín Lagos,CA Vélez Sarsfield,700000,698551,2001-10-09,24,700000,698551,,2025-10-17
Claudio Baeza,CA Vélez Sarsfield,2000000,248346,1993-12-23,31,2000000,248346,,2025-10-17
Agustín Bouzat,CA Vélez Sarsfield,700000,422699,1994-03-28,31,700000,422699,,2025-10-17
Kevin Vázquez,CA Vélez Sarsfield,450000,1064181,2001-03-19,24,450000,1064181,,2025-10-17
Tobías Andrada,CA Vélez Sarsfield,700000,1384266,2007-02-02,18,700000,1384266,,2025-10-17
Rodrigo Aliendro,CA Vélez Sarsfield,500000,424045,1991-02-16,34,500000,424045,,2025-10-17
Leonel Roldán,CA Vélez Sarsfield,75000,1285239,2004-10-10,21,75000,1285239,,2025-10-17
Diego Valdés,CA Vélez Sarsfield,3500000,249776,1994-01-30,31,3500000,249776,,2025-10-17
Tomás Galván,CA Vélez Sarsfield,2500000,893850,2000-04-11,25,2500000,893850,,2025-10-17
Manuel Lanzini,CA Vélez Sarsfield,1000000,135853,1993-02-15,32,1000000,135853,,2025-10-17
Thiago Fernández,CA Vélez Sarsfield,5000000,1127730,2004-04-03,21,5000000,1127730,,2025-10-17
Matías Pellegrini,CA Vélez Sarsfield,1500000,606267,2000-03-11,25,1500000,606267,,2025-10-17
Maher Carrizo,CA Vélez Sarsfield,10000000,1162160,2006-02-19,19,10000000,1162160,,2025-10-17
Imanol Machuca,CA Vélez Sarsfield,2500000,829968,2000-01-15,25,2500000,829968,,2025-10-17
Francisco Pizzini,CA Vélez Sarsfield,1800000,213122,1993-09-19,32,1800000,213122,,2025-10-17
Florián Monzón,CA Vélez Sarsfield,2000000,756993,2001-01-03,24,2000000,756993,,2025-10-17
Braian Romero,CA Vélez Sarsfield,1200000,357937,1991-06-15,34,1200000,357937,,2025-10-17
Michael Santos,CA Vélez Sarsfield,600000,178107,1993-03-13,32,600000,178107,,2025-10-17
Dilan Godoy,CA Vélez Sarsfield,200000,1379348,2006-02-05,19,200000,1379348,,2025-10-17
Matías Arias,CA Vélez Sarsfield,50000,1379347,2007-05-08,18,50000,1379347,,2025-10-17
Guido Herrera,CA Talleres,2000000,230014,1992-02-29,33,2000000,230014,,2025-10-17
Javier Burrai,CA Talleres,250000,223888,1990-10-09,35,250000,223888,,2025-10-17
Santino Barbi,CA Talleres,200000,1197308,2005-06-14,20,200000,1197308,,2025-10-17
Rodrigo Guth,CA Talleres,2500000,492313,2000-11-10,24,2500000,492313,,2025-10-17
Santiago Fernández,CA Talleres,2500000,1106217,2005-03-30,20,2500000,1106217,,2025-10-17
Matías Catalán,CA Talleres,700000,237051,1992-08-19,33,700000,237051,,2025-10-17
Juan Gabriel Rodríguez,CA Talleres,700000,189448,1994-02-28,31,700000,189448,,2025-10-17
José Luis Palomino,CA Talleres,700000,125020,1990-01-05,35,700000,125020,,2025-10-17
Miguel Navarro,CA Talleres,2200000,509390,1999-02-26,26,2200000,509390,,2025-10-17
Gabriel Báez,CA Talleres,1000000,376858,1995-07-21,30,1000000,376858,,2025-10-17
Augusto Schott,CA Talleres,350000,670566,2000-01-17,25,350000,670566,,2025-10-17
Matías Galarza,CA Talleres,4000000,909737,2002-03-04,23,4000000,909737,,2025-10-17
Joaquín Mosqueira,CA Talleres,2000000,1118712,2004-11-01,20,2000000,1118712,,2025-10-17
Ulises Ortegoza,CA Talleres,2000000,654814,1997-04-19,28,2000000,654814,,2025-10-17
Juan Portilla,CA Talleres,3500000,585747,1998-09-12,27,3500000,585747,,2025-10-17
Mateo Cáceres,CA Talleres,400000,907835,2002-09-25,23,400000,907835,,2025-10-17
Matías Gómez,CA Talleres,100000,1150517,2005-11-23,19,100000,1150517,,2025-10-17
Emanuel Reynoso,CA Talleres,2200000,439626,1995-11-16,29,2200000,439626,,2025-10-17
Luis Sequeira,CA Talleres,1300000,668550,2003-01-08,22,1300000,668550,,2025-10-17
Rubén Botta,CA Talleres,500000,88542,1990-01-31,35,500000,88542,,2025-10-17
Luis Angulo,CA Talleres,2700000,885301,2004-03-23,21,2700000,885301,,2025-10-17
Rick,CA Talleres,2500000,645955,1999-09-02,26,2500000,645955,,2025-10-17
Valentín Depietri,CA Talleres,600000,697056,2000-10-31,24,600000,697056,,2025-10-17
Ignacio Alastra,CA Talleres,50000,1378149,2007-10-29,17,50000,1378149,,2025-10-17
Federico Girotti,CA Talleres,2200000,639149,1999-06-02,26,2200000,639149,,2025-10-17
Nahuel Bustos,CA Talleres,1800000,439629,1998-07-04,27,1800000,439629,,2025-10-17
Orlando Gill,CA San Lorenzo de Almagro,5000000,643259,2000-06-11,25,5000000,643259,,2025-10-17
Facundo Altamirano,CA San Lorenzo de Almagro,800000,362358,1996-03-21,29,800000,362358,,2025-10-17
Jhohan Romaña,CA San Lorenzo de Almagro,6000000,741963,1998-09-13,27,6000000,741963,,2025-10-17
Gastón Hernández,CA San Lorenzo de Almagro,3500000,665277,1998-01-19,27,3500000,665277,,2025-10-17
Daniel Herrera,CA San Lorenzo de Almagro,1200000,1250374,2004-02-06,21,1200000,1250374,,2025-10-17
Nery Domínguez,CA San Lorenzo de Almagro,200000,267413,1990-04-09,35,200000,267413,,2025-10-17
Elías Báez,CA San Lorenzo de Almagro,3000000,1160854,2004-10-18,20,3000000,1160854,,2025-10-17
Teo Rodríguez Pagano,CA San Lorenzo de Almagro,200000,1282698,2005-10-12,20,200000,1282698,,2025-10-17
Ezequiel Herrera,CA San Lorenzo de Almagro,2200000,966316,2003-01-22,22,2200000,966316,,2025-10-17
Nahuel Arias,CA San Lorenzo de Almagro,450000,1131419,2005-01-02,20,450000,1131419,,2025-10-17
Fabricio López,CA San Lorenzo de Almagro,50000,1123346,2002-11-21,22,50000,1123346,,2025-10-17
Ignacio Perruzzi,CA San Lorenzo de Almagro,2000000,1296409,2005-03-22,20,2000000,1296409,,2025-10-17
Nicolás Tripichio,CA San Lorenzo de Almagro,1500000,275614,1996-01-05,29,1500000,275614,,2025-10-17
Emanuel Cecchini,CA San Lorenzo de Almagro,400000,324946,1996-12-24,28,400000,324946,,2025-10-17
Francisco Perruzzi,CA San Lorenzo de Almagro,300000,963139,2001-02-09,24,300000,963139,,2025-10-17
Juan Rattalino,CA San Lorenzo de Almagro,200000,1296399,2004-06-23,21,200000,1296399,,2025-10-17
Manuel Insaurralde,CA San Lorenzo de Almagro,150000,627237,1999-01-31,26,150000,627237,,2025-10-17
Agustín Ladstatter,CA San Lorenzo de Almagro,100000,1296393,2005-06-05,20,100000,1296393,,2025-10-17
Facundo Gulli,CA San Lorenzo de Almagro,75000,1296404,2005-09-25,20,75000,1296404,,2025-10-17
Matías Reali,CA San Lorenzo de Almagro,2000000,984692,1997-11-14,27,2000000,984692,,2025-10-17
Ezequiel Cerutti,CA San Lorenzo de Almagro,200000,267882,1992-01-17,33,200000,267882,,2025-10-17
Andrés Vombergar,CA San Lorenzo de Almagro,3000000,486926,1994-11-20,30,3000000,486926,,2025-10-17
Alexis Cuello,CA San Lorenzo de Almagro,1800000,636783,2000-02-18,25,1800000,636783,,2025-10-17
Diego Herazo,CA San Lorenzo de Almagro,550000,384580,1996-04-14,29,550000,384580,,2025-10-17
Branco Salinardi,CA San Lorenzo de Almagro,200000,1296408,2007-04-26,18,200000,1296408,,2025-10-17
Facundo Cambeses,Racing Club,1700000,435001,1997-04-09,28,1700000,435001,,2025-10-17
Gabriel Arias,Racing Club,400000,54330,1987-09-13,38,400000,54330,,2025-10-17
Marco Di Césare,Racing Club,8000000,839029,2002-01-30,23,8000000,839029,,2025-10-17
Santiago Sosa,Racing Club,8000000,576026,1999-05-03,26,8000000,576026,,2025-10-17
Nazareno Colombo,Racing Club,3000000,688207,1999-03-20,26,3000000,688207,,2025-10-17
Franco Pardo,Racing Club,2300000,720716,1997-04-05,28,2300000,720716,,2025-10-17
Santiago Quirós,Racing Club,1000000,961786,2003-03-04,22,1000000,961786,,2025-10-17
Agustín García Basso,Racing Club,700000,269793,1992-03-26,33,700000,269793,,2025-10-17
Marcos Rojo,Racing Club,300000,93176,1990-03-20,35,300000,93176,,2025-10-17
Gabriel Rojas,Racing Club,3000000,471639,1997-06-22,28,3000000,471639,,2025-10-17
Fabián Sánchez,Racing Club,175000,830782,2001-08-17,24,175000,830782,,2025-10-17
Gastón Martirena,Racing Club,6000000,744324,2000-01-05,25,6000000,744324,,2025-10-17
Facundo Mura,Racing Club,1500000,642759,1999-03-23,26,1500000,642759,,2025-10-17
Bruno Zuculini,Racing Club,600000,115507,1993-04-02,32,600000,115507,,2025-10-17
Alan Forneris,Racing Club,350000,1240382,2005-01-28,20,350000,1240382,,2025-10-17
Juan Ignacio Nardoni,Racing Club,11000000,689211,2002-07-14,23,11000000,689211,,2025-10-17
Richard Sánchez,Racing Club,3000000,542344,1996-03-29,29,3000000,542344,,2025-10-17
Agustín Almendra,Racing Club,2800000,491698,2000-02-11,25,2800000,491698,,2025-10-17
Martín Barrios,Racing Club,500000,565981,1999-01-24,26,500000,565981,,2025-10-17
Ignacio Rodríguez,Racing Club,1700000,881014,2002-02-22,23,1700000,881014,,2025-10-17
Matías Zaracho,Racing Club,5000000,480774,1998-03-10,27,5000000,480774,,2025-10-17
Adrián Fernández,Racing Club,400000,877208,2001-05-20,24,400000,877208,,2025-10-17
Duván Vergara,Racing Club,3000000,413658,1996-09-09,29,3000000,413658,,2025-10-17
Tomás Conechny,Racing Club,2200000,401571,1998-03-30,27,2200000,401571,,2025-10-17
Santiago Solari,Racing Club,3000000,866059,1998-01-19,27,3000000,866059,,2025-10-17
Ramiro Degregorio,Racing Club,300000,1133078,2003-02-06,22,300000,1133078,,2025-10-17
Adrián Martínez,Racing Club,3500000,598769,1992-07-07,33,3500000,598769,,2025-10-17
Luciano Vietto,Racing Club,1500000,214316,1993-12-05,31,1500000,214316,,2025-10-17
Elías Torres,Racing Club,1500000,1014363,2001-03-02,24,1500000,1014363,,2025-10-17
Adrián Balboa,Racing Club,800000,252209,1994-01-19,31,800000,252209,,2025-10-17
Nahuel Losada,CA Lanús,3000000,323918,1993-04-17,32,3000000,323918,,2025-10-17
Lautaro Morales,CA Lanús,700000,576023,1999-12-16,25,700000,576023,,2025-10-17
Ronaldo Dejesús,CA Lanús,2000000,847074,2001-04-21,24,2000000,847074,,2025-10-17
Gonzalo Pérez,CA Lanús,700000,799594,2001-01-04,24,700000,799594,,2025-10-17
José Canale,CA Lanús,600000,402627,1996-07-20,29,600000,402627,,2025-10-17
Carlos Izquierdoz,CA Lanús,500000,116968,1988-11-03,36,500000,116968,,2025-10-17
Franco Ortellado,CA Lanús,175000,756985,2001-05-30,24,175000,756985,,2025-10-17
Ezequiel Muñoz,CA Lanús,75000,75127,1990-10-08,35,75000,75127,,2025-10-17
Sasha Marcich,CA Lanús,2000000,867621,1998-05-29,27,2000000,867621,,2025-10-17
Octavio Ontivero,CA Lanús,200000,1000668,2006-01-10,19,200000,1000668,,2025-10-17
Armando Méndez,CA Lanús,1000000,605648,1996-03-31,29,1000000,605648,,2025-10-17
Nicolás Morgantini,CA Lanús,375000,615253,1994-09-11,31,375000,615253,,2025-10-17
Brian Aguilar,CA Lanús,175000,891733,2003-04-13,22,175000,891733,,2025-10-17
Felipe Peña Biafore,CA Lanús,2200000,894194,2001-04-05,24,2200000,894194,,2025-10-17
Raúl Loaiza,CA Lanús,800000,260898,1994-06-08,31,800000,260898,,2025-10-17
Agustín Medina,CA Lanús,3000000,1294453,2006-10-24,18,3000000,1294453,,2025-10-17
Agustín Cardozo,CA Lanús,1500000,469762,1997-05-30,28,1500000,469762,,2025-10-17
Juan Ramírez,CA Lanús,250000,190756,1993-05-25,32,250000,190756,,2025-10-17
Ramiro Carrera,CA Lanús,1000000,282283,1993-10-24,31,1000000,282283,,2025-10-17
Marcelino Moreno,CA Lanús,5000000,456617,1995-06-25,30,5000000,456617,,2025-10-17
Franco Watson,CA Lanús,500000,654733,2002-07-25,23,500000,654733,,2025-10-17
Dylan Aquino,CA Lanús,1800000,1150206,2005-06-04,20,1800000,1150206,,2025-10-17
Lautaro Acosta,CA Lanús,25000,45307,1988-03-14,37,25000,45307,,2025-10-17
Eduardo Salvio,CA Lanús,1000000,84535,1990-07-13,35,1000000,84535,,2025-10-17
Alexis Segovia,CA Lanús,300000,1013913,2004-06-15,21,300000,1013913,,2025-10-17
Rodrigo Castillo,CA Lanús,2000000,984416,1999-02-26,26,2000000,984416,,2025-10-17
Walter Bou,CA Lanús,1500000,334233,1993-08-25,32,1500000,334233,,2025-10-17
Alexis Canelo,CA Lanús,350000,249789,1992-02-03,33,350000,249789,,2025-10-17
Bruno Cabrera,CA Lanús,200000,1235860,2003-05-21,22,200000,1235860,,2025-10-17
Felipe Zenobio,Club Atlético Tigre,3000000,826527,2000-05-22,25,3000000,826527,,2025-10-17
Tomás Sultani,Club Atlético Tigre,100000,724866,1998-06-22,27,100000,724866,,2025-10-17
Tomás Cardona,Club Atlético Tigre,1200000,422700,1995-10-10,30,1200000,422700,,2025-10-17
Alan Barrionuevo,Club Atlético Tigre,600000,865491,1997-01-02,28,600000,865491,,2025-10-17
Joaquín Laso,Club Atlético Tigre,275000,360797,1990-07-04,35,275000,360797,,2025-10-17
Ramón Arias,Club Atlético Tigre,250000,131095,1992-07-27,33,250000,131095,,2025-10-17
Tomás Fernández,Club Atlético Tigre,50000,1153735,2004-01-07,21,50000,1153735,,2025-10-17
Nahuel Banegas,Club Atlético Tigre,1200000,697041,1996-10-06,29,1200000,697041,,2025-10-17
Federico Álvarez,Club Atlético Tigre,400000,289117,1994-08-07,31,400000,289117,,2025-10-17
Diego Sosa,Club Atlético Tigre,350000,464365,1997-07-28,28,350000,464365,,2025-10-17
Ángelo Marchese,Club Atlético Tigre,75000,1264276,2004-08-02,21,75000,1264276,,2025-10-17
Martín Ortega,Club Atlético Tigre,1500000,663118,1999-08-20,26,1500000,663118,,2025-10-17
Martín Garay,Club Atlético Tigre,1000000,696730,1999-06-12,26,1000000,696730,,2025-10-17
Guillermo Soto,Club Atlético Tigre,500000,534909,1994-01-19,31,500000,534909,,2025-10-17
Valentín Moreno,Club Atlético Tigre,100000,1238749,2003-02-19,22,100000,1238749,,2025-10-17
Bruno Leyes,Club Atlético Tigre,1800000,910641,2001-10-30,23,1800000,910641,,2025-10-17
Jalil Elías,Club Atlético Tigre,1700000,376859,1996-04-25,29,1700000,376859,,2025-10-17
Julián López,Club Atlético Tigre,1000000,625203,2000-01-08,25,1000000,625203,,2025-10-17
Jabes Saralegui,Club Atlético Tigre,3000000,1174943,2003-04-12,22,3000000,1174943,,2025-10-17
Santiago González,Club Atlético Tigre,2500000,1249779,2003-05-03,22,2500000,1249779,,2025-10-17
Simón Rivero,Club Atlético Tigre,500000,912009,2003-04-16,22,500000,912009,,2025-10-17
Gonzalo Piñeiro,Club Atlético Tigre,150000,1011262,2000-10-03,25,150000,1011262,,2025-10-17
Sebastián Medina,Club Atlético Tigre,300000,840774,2000-03-15,25,300000,840774,,2025-10-17
Elías Cabrera,Club Atlético Tigre,1200000,668513,2003-02-25,22,1200000,668513,,2025-10-17
Blas Armoa,Club Atlético Tigre,700000,491603,2000-02-03,25,700000,491603,,2025-10-17
Héctor Fértoli,Club Atlético Tigre,600000,424024,1994-12-03,30,600000,424024,,2025-10-17
Braian Martínez,Club Atlético Tigre,500000,739995,1999-08-18,26,500000,739995,,2025-10-17
Ignacio Russo,Club Atlético Tigre,2500000,833130,2000-12-13,24,2500000,833130,,2025-10-17
David Romero,Club Atlético Tigre,700000,668512,2003-03-25,22,700000,668512,,2025-10-17
Alfio Oviedo,Club Atlético Tigre,400000,518354,1995-12-18,29,400000,518354,,2025-10-17
Fernando Muslera,Club Estudiantes de La Plata,800000,58088,1986-06-16,39,800000,58088,,2025-10-17
Fabricio Iacovich,Club Estudiantes de La Plata,200000,1050051,2002-01-29,23,200000,1050051,,2025-10-17
Santiago Núñez,Club Estudiantes de La Plata,2500000,959208,2000-04-29,25,2500000,959208,,2025-10-17
Facundo Rodríguez,Club Estudiantes de La Plata,800000,663491,2000-02-26,25,800000,663491,,2025-10-17
Leandro González Pírez,Club Estudiantes de La Plata,400000,113130,1992-02-26,33,400000,113130,,2025-10-17
Juan Cruz Guasone,Club Estudiantes de La Plata,200000,832977,2001-03-27,24,200000,832977,,2025-10-17
Valente Pierani,Club Estudiantes de La Plata,200000,1000685,2006-02-22,19,200000,1000685,,2025-10-17
Ramiro Funes Mori,Club Estudiantes de La Plata,125000,11111,1991-03-05,34,125000,11111,,2025-10-17
Santiago Arzamendia,Club Estudiantes de La Plata,2000000,520947,1998-05-05,27,2000000,520947,,2025-10-17
Gastón Benedetti,Club Estudiantes de La Plata,1800000,843156,2001-03-29,24,1800000,843156,,2025-10-17
Eric Meza,Club Estudiantes de La Plata,2000000,830857,1999-04-08,26,2000000,830857,,2025-10-17
Román Gómez,Club Estudiantes de La Plata,400000,1241022,2004-07-14,21,400000,1241022,,2025-10-17
Santiago Ascacíbar,Club Estudiantes de La Plata,7000000,423436,1997-02-25,28,7000000,423436,,2025-10-17
Gabriel Neves,Club Estudiantes de La Plata,2000000,454181,1997-08-11,28,2000000,454181,,2025-10-17
Ezequiel Piovi,Club Estudiantes de La Plata,1000000,487346,1992-08-20,33,1000000,487346,,2025-10-17
Cristian Medina,Club Estudiantes de La Plata,8000000,661133,2002-06-01,23,8000000,661133,,2025-10-17
Alexis Castro,Club Estudiantes de La Plata,1500000,364602,1994-10-18,30,1500000,364602,,2025-10-17
Mikel Amondarain,Club Estudiantes de La Plata,500000,1283311,2005-01-06,20,500000,1283311,,2025-10-17
Facundo Farías,Club Estudiantes de La Plata,3000000,728221,2002-08-28,23,3000000,728221,,2025-10-17
