Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,birth_year_fb,market_value_eur,player_id,dob,age,join_method
agustin bouzat,ar ARG,"MF,DF",Vélez Sarsfield,29,1994,23.8,0,0,0.3,0.7,12,2,758,1069,70.91,73,41,38,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,agustin bouzat,agustin bouzat,velez sarsfield,1994,700000,422699,1994-03-28,31,key+birth_year
agustin cardozo,ar ARG,MF,Tigre,26,1997,23.9,1,1,1.1,0.8,9,2,1171,1339,87.45,39,23,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,agustin cardozo,agustin cardozo,tigre,1997,1500000,469762,1997-05-30,28,first+last+birth_year
agustin fontana,ar ARG,FW,Sarmiento,27,1996,2.5,1,0,1.9,0.3,7,4,26,46,56.52,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,agustin fontana,agustin fontana,sarmiento,1996,,,nan,,
agustin garcia basso,ar ARG,DF,Racing Club,31,1992,9.3,1,0,0.4,0.1,5,2,462,555,83.24,6,4,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,agustin garcia basso,agustin basso,racing club,1992,700000,269793,1992-03-26,33,key+birth_year
agustin giay,ar ARG,DF,San Lorenzo,20,2004,3.0,1,0,0.8,0.1,6,1,93,122,76.23,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,agustin giay,agustin giay,san lorenzo,2004,,,nan,,
agustin irazoque,ar ARG,DF,Barracas Central,24,1999,0.1,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,agustin irazoque,agustin irazoque,barracas central,1999,,,nan,,
agustin juarez,ar ARG,"FW,MF",Newell's OB,18,2005,0.6,1,0,0.4,0.0,1,1,7,11,63.64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,agustin juarez,agustin juarez,newell s ob,2005,,,nan,,
agustin lagos,ar ARG,DF,Atlé Tucumán,22,2001,4.6,0,0,0.1,0.2,6,2,146,214,68.22,27,17,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,agustin lagos,agustin lagos,atle tucuman,2001,700000,698551,2001-10-09,24,first+last+birth_year
agustin martegani,ar ARG,MF,Boca Juniors,23,2000,3.8,0,0,0.0,0.3,2,1,116,151,76.82,10,8,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin martegani,agustin martegani,boca juniors,2000,700000,732507,2000-05-20,25,key+birth_year
agustin modica,ar ARG,FW,Rosario Central,21,2003,6.0,3,0,2.0,0.5,13,7,81,114,71.05,8,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,agustin modica,agustin modica,rosario central,2003,1300000,1184570,2003-01-12,22,key+birth_year
agustin morales,ar ARG,"FW,DF",Cen. Córdoba–SdE,24,1999,0.9,0,0,0.3,0.0,6,0,27,36,75.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,agustin morales,agustin morales,cen cordoba sde,1999,,,nan,,
agustin mulet,ar ARG,MF,Ind. Rivadavia,23,2000,3.5,0,0,0.0,0.1,0,0,67,95,70.53,10,8,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin mulet,agustin mulet,ind rivadavia,2000,,,nan,,
agustin obando,ar ARG,"MF,FW",Banfield,23,2000,2.9,0,0,0.3,0.5,6,2,58,94,61.7,7,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin obando,agustin obando,banfield,2000,125000,491706,2000-03-11,25,key+birth_year
agustin palavecino,ar ARG,MF,River Plate,27,1996,0.3,0,0,0.0,0.0,0,0,32,36,88.89,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,agustin palavecino,agustin palavecino,river plate,1996,,,nan,,
agustin quiroga,ar ARG,DF,Platense,21,2002,2.8,0,1,0.1,0.6,3,1,57,93,61.29,6,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,agustin quiroga,agustin quiroga,platense,2002,,,nan,,
agustin rodriguez,ar ARG,"FW,MF",Lanús,19,2004,2.1,1,0,1.4,0.2,5,2,37,63,58.73,7,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,agustin rodriguez,agustin rodriguez,lanus,2004,,,nan,,
agustin ruberto,ar ARG,"FW,MF",River Plate,18,2006,1.5,0,0,0.3,0.0,3,0,15,21,71.43,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,agustin ruberto,agustin ruberto,river plate,2006,2500000,1000688,2006-01-14,19,key+birth_year
agustin sandez,py PAR,DF,Rosario Central,23,2001,16.5,1,0,0.8,0.5,11,3,573,774,74.03,39,29,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin sandez,agustin sandez,rosario central,2001,2500000,847023,2001-01-16,24,key+birth_year
agustin sant'anna,uy URU,DF,River Plate,26,1997,3.8,0,1,0.1,0.7,4,3,168,229,73.36,10,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,agustin sant anna,agustin anna,river plate,1997,,,nan,,
agustin toledo,ar ARG,MF,Huracán,23,2000,2.0,0,0,0.0,0.0,1,0,63,80,78.75,9,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin toledo,agustin toledo,huracan,2000,,,nan,,
agustin urzi,ar ARG,"MF,FW",Racing Club,23,2000,6.8,0,0,1.0,1.9,13,6,143,223,64.13,7,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin urzi,agustin urzi,racing club,2000,1200000,636441,2000-05-04,25,first+last+birth_year
agustin villalobos,ar ARG,MF,Godoy Cruz,20,2003,0.3,0,0,0.0,0.0,1,1,11,15,73.33,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,agustin villalobos,agustin villalobos,godoy cruz,2003,,,nan,,
alan aguerre,ar ARG,GK,Lanús,33,1990,10.0,0,0,0.0,0.0,0,0,176,299,58.86,0,0,1,0,14.0,1.4,43.0,28.0,69.8,1.0,10.0,2.0,1.0,1.0,0.0,13.0,0.27,-1.0,-0.1,67.0,176.0,38.1,199.0,24.0,52.8,40.9,3.0,1.7,4.0,0.4,14.0,True,33.0,alan aguerre,alan aguerre,lanus,1990,200000,269784,1990-08-23,35,first+last+birth_year
alan barrionuevo,ar ARG,DF,Deportivo Riestra,27,1997,24.0,2,1,0.9,0.8,22,9,289,521,55.47,35,21,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,alan barrionuevo,alan barrionuevo,deportivo riestra,1997,600000,865491,1997-01-02,28,first+last+birth_year
alan cantero,ar ARG,MF,Barracas Central,25,1998,9.4,1,1,1.2,0.7,17,3,122,172,70.93,9,5,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,alan cantero,alan cantero,barracas central,1998,,,nan,,
alan lescano,ar ARG,"MF,FW",Arg Juniors,22,2001,20.9,5,2,4.5,2.7,39,13,723,894,80.87,33,17,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,alan lescano,alan lescano,arg juniors,2001,6000000,991134,2001-11-11,23,first+last+birth_year
alan rodriguez,py PAR,"DF,MF",Rosario Central,23,2000,10.6,1,0,0.2,0.4,8,2,459,646,71.05,16,10,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,alan rodriguez,alan rodriguez,rosario central,2000,,,nan,,
alan sonora,us USA,"MF,FW",Huracán,25,1998,3.5,1,0,0.6,0.5,7,3,126,174,72.41,4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,alan sonora,alan sonora,huracan,1998,,,nan,,
alan sosa,ar ARG,GK,Tigre,27,1996,2.6,0,0,0.0,0.0,0,0,66,79,83.54,0,0,0,0,2.0,0.76,14.0,12.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.28,1.5,0.58,7.0,18.0,38.9,58.0,15.0,20.7,30.3,3.0,6.5,0.0,0.0,8.8,True,27.0,alan sosa,alan sosa,tigre,1996,,,nan,,
alejandro maciel,ar ARG,DF,Banfield,26,1997,15.2,1,0,0.3,0.1,10,1,403,597,67.5,27,19,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,alejandro maciel,alejandro maciel,banfield,1997,,,nan,,
alejandro martinez,ar ARG,FW,Talleres,26,1997,11.1,2,0,1.8,2.2,28,5,216,334,64.67,14,9,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,alejandro martinez,alejandro martinez,talleres,1997,,,nan,,
alejandro rebola,ar ARG,DF,Belgrano,35,1988,16.1,0,0,0.5,0.1,11,2,604,751,80.43,22,11,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,alejandro rebola,alejandro rebola,belgrano,1988,,,nan,,
alejo sarco,ar ARG,"FW,MF",Vélez Sarsfield,18,2006,0.9,0,0,0.2,0.0,2,0,13,17,76.47,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,alejo sarco,alejo sarco,velez sarsfield,2006,,,nan,,
alex juarez,ar ARG,"MF,FW",Barracas Central,19,2004,2.8,0,0,0.5,0.5,8,3,70,105,66.67,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,alex juarez,alex juarez,barracas central,2004,,,nan,,
alex luna,ar ARG,"FW,MF",Independiente,19,2004,7.2,1,0,1.4,0.8,17,6,140,204,68.63,15,6,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,alex luna,alex luna,independiente,2004,3500000,843126,2004-03-31,21,first+last+birth_year
alex vigo,ar ARG,DF,Talleres,24,1999,4.1,0,0,0.1,0.2,3,1,175,238,73.53,8,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,alex vigo,alex vigo,talleres,1999,500000,648520,1999-04-28,26,first+last+birth_year
alexander diaz,ar ARG,"MF,FW",Deportivo Riestra,24,2000,5.7,2,0,1.4,0.8,9,4,63,107,58.88,14,11,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,alexander diaz,alexander diaz,deportivo riestra,2000,400000,618986,2000-03-22,25,first+last+birth_year
alexis canelo,ar ARG,"FW,MF",Independiente,31,1992,3.2,1,0,0.4,0.2,4,3,70,105,66.67,7,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,alexis canelo,alexis canelo,independiente,1992,350000,249789,1992-02-03,33,first+last+birth_year
alexis cuello,ar ARG,FW,San Lorenzo,23,2000,19.8,4,0,4.3,0.9,41,16,236,394,59.9,32,25,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,alexis cuello,alexis cuello,san lorenzo,2000,1800000,636783,2000-02-18,25,key+birth_year
alexis dominguez,ar ARG,"FW,MF",Barracas Central,27,1996,8.3,1,2,1.1,0.4,11,2,111,180,61.67,5,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,alexis dominguez,alexis dominguez,barracas central,1996,,,nan,,
alexis maldonado,ar ARG,DF,Banfield,26,1997,10.6,0,0,0.1,0.1,1,0,252,347,72.62,15,10,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,alexis maldonado,alexis maldonado,banfield,1997,700000,444100,1997-09-02,28,first+last+birth_year
alexis manyoma,co COL,"FW,MF",Estudiantes–LP,21,2003,11.1,3,6,2.5,3.0,18,7,312,420,74.29,16,6,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,alexis manyoma,alexis manyoma,estudiantes lp,2003,,,nan,,
alexis segovia,ar ARG,"MF,FW",Cen. Córdoba–SdE,19,2004,6.1,0,1,0.2,0.7,8,2,152,192,79.17,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,alexis segovia,alexis segovia,cen cordoba sde,2004,300000,1013913,2004-06-15,21,first+last+birth_year
alexis soto,ar ARG,DF,Defensa y Just,30,1993,16.6,0,2,0.6,2.4,12,3,677,935,72.41,35,22,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,alexis soto,alexis soto,defensa y justicia,1993,1700000,409272,1993-10-20,31,key+birth_year
alvaro dionisio,ar ARG,DF,Ind. Rivadavia,25,1998,0.7,0,0,0.4,0.0,2,1,22,26,84.62,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,alvaro dionisio,alvaro dionisio,ind rivadavia,1998,,,nan,,
alvaro montoro,ar ARG,"MF,FW",Vélez Sarsfield,16,2007,0.9,0,0,0.0,0.0,0,0,29,42,69.05,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,16.0,alvaro montoro,alvaro montoro,velez sarsfield,2007,1500000,292985,1995-03-29,30,fuzzy(92.85714285714286)
andres berizovsky,ar ARG,DF,Defensa y Just,19,2004,0.6,0,0,0.0,0.0,0,0,16,18,88.89,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,andres berizovsky,andres berizovsky,defensa y justicia,2004,,,nan,,
andres roa,co COL,FW,Huracán,30,1993,0.2,0,0,0.0,0.0,0,0,2,4,50.0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,andres roa,andres roa,huracan,1993,,,nan,,
andres vombergar,si SVN,"FW,MF",San Lorenzo,29,1994,7.0,1,1,1.7,0.5,15,2,98,169,57.99,5,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,andres vombergar,andres vombergar,san lorenzo,1994,3000000,486926,1994-11-20,30,key+birth_year
angelo marchese,ar ARG,DF,Tigre,19,2004,4.2,0,0,0.0,0.0,2,0,166,226,73.45,10,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,angelo marchese,angelo marchese,tigre,2004,75000,1264276,2004-08-02,21,key+birth_year
angelo martino,ar ARG,DF,Newell's OB,25,1998,18.2,0,1,0.5,0.7,19,6,576,849,67.84,38,26,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,angelo martino,angelo martino,newell s ob,1998,,,nan,,
anibal leguizamon,ar ARG,DF,Belgrano,32,1992,13.6,1,0,0.3,0.2,7,1,371,486,76.34,22,12,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,anibal leguizamon,anibal leguizamon,belgrano,1992,275000,610333,1992-01-10,33,key+birth_year
antonio napolitano,ar ARG,"DF,MF",Ind. Rivadavia,24,1999,1.3,0,1,0.0,0.2,0,0,33,51,64.71,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,antonio napolitano,antonio napolitano,ind rivadavia,1999,,,nan,,
antony alonso,ar ARG,FW,Deportivo Riestra,25,1998,7.8,3,0,1.9,0.7,10,5,74,151,49.01,11,9,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,antony alonso,antony alonso,deportivo riestra,1998,450000,844800,1998-05-11,27,first+last+birth_year
ariel gamarra,py PAR,MF,Arg Juniors,20,2003,10.7,0,2,0.2,0.9,6,1,405,512,79.1,30,21,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,ariel gamarra,ariel gamarra,arg juniors,2003,,,nan,,
ariel rojas,ar ARG,MF,Belgrano,38,1986,0.2,0,0,0.0,0.0,0,0,2,5,40.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,38.0,ariel rojas,ariel rojas,belgrano,1986,,,nan,,
armando mendez,uy URU,DF,Newell's OB,27,1996,15.9,1,1,2.0,1.7,9,2,370,545,67.89,37,30,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,armando mendez,armando mendez,newell s ob,1996,1000000,605648,1996-03-31,29,first+last+birth_year
augusto lotti,it ITA,"FW,MF",Lanús,27,1996,2.1,0,0,0.2,0.2,2,0,26,47,55.32,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,augusto lotti,augusto lotti,lanus,1996,800000,406296,1996-06-10,29,first+last+birth_year
augusto max,ar ARG,MF,Gimnasia–LP,31,1992,6.2,0,0,0.2,0.3,4,2,191,223,85.65,33,23,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,augusto max,augusto max,gimnasia lp,1992,125000,149770,1992-08-10,33,first+last+birth_year
augusto schott,ar ARG,DF,Newell's OB,24,2000,11.1,0,0,1.1,0.4,12,6,357,513,69.59,20,13,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,augusto schott,augusto schott,newell s ob,2000,350000,670566,2000-01-17,25,first+last+birth_year
augusto solari,ar ARG,"FW,MF",Rosario Central,32,1992,3.7,0,0,0.4,0.1,3,1,72,107,67.29,11,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,augusto solari,augusto solari,rosario central,1992,250000,282694,1992-01-03,33,first+last+birth_year
axel atum,ar ARG,"FW,MF",Estudiantes–LP,18,2006,0.1,0,0,0.0,0.0,0,0,2,3,66.67,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,axel atum,axel atum,estudiantes lp,2006,,,nan,,
axel werner,ar ARG,GK,Rosario Central,27,1996,3.0,0,0,0.0,0.0,0,0,52,91,57.14,0,0,0,0,3.0,1.0,16.0,13.0,81.3,1.0,33.3,1.0,0.0,0.0,1.0,4.6,0.3,1.6,0.54,18.0,56.0,32.1,71.0,19.0,56.3,42.4,0.0,0.0,2.0,0.67,12.9,True,27.0,axel werner,axel werner,rosario central,1996,375000,236734,1996-02-28,29,key+birth_year
ayrton portillo,ar ARG,"MF,DF",Defensa y Just,23,2000,3.8,0,0,0.2,1.1,4,1,66,104,63.46,5,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,ayrton portillo,ayrton portillo,defensa y justicia,2000,,,nan,,
baltasar rodriguez,ar ARG,"MF,FW",Racing Club,20,2003,9.6,0,1,1.4,1.3,19,6,320,416,76.92,33,18,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,baltasar rodriguez,baltasar rodriguez,racing club,2003,,,nan,,
bautista barros schelotto,ar ARG,DF,Platense,24,2000,15.3,0,3,0.1,1.2,3,0,289,503,57.46,42,30,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,bautista barros schelotto,bautista schelotto,platense,2000,225000,852761,2000-01-13,25,key+birth_year
bautista kociubinski,ar ARG,"MF,DF",Estudiantes–LP,22,2001,3.7,0,0,0.1,0.4,4,0,176,222,79.28,9,6,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,bautista kociubinski,bautista kociubinski,estudiantes lp,2001,,,nan,,
benjamin bosch,ar ARG,"DF,FW",Vélez Sarsfield,18,2005,0.0,0,0,0.0,0.0,0,0,5,5,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,benjamin bosch,benjamin bosch,velez sarsfield,2005,,,nan,,
benjamin dominguez,ar ARG,FW,Gimnasia–LP,20,2003,10.7,2,1,2.1,1.9,28,14,182,265,68.68,10,7,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,benjamin dominguez,benjamin dominguez,gimnasia lp,2003,,,nan,,
benjamin schamine,ar ARG,MF,Defensa y Just,20,2003,5.4,2,0,1.3,0.2,8,3,161,203,79.31,13,7,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,benjamin schamine,benjamin schamine,defensa y justicia,2003,350000,1141726,2003-10-24,21,key+birth_year
bernardo benitez,py PAR,"MF,FW",Tigre,21,2002,4.0,0,2,0.6,2.1,6,3,123,179,68.72,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,bernardo benitez,bernardo benitez,tigre,2002,,,nan,,
blas armoa,py PAR,"FW,MF",Tigre,23,2000,15.2,3,1,3.8,2.1,27,11,186,266,69.92,12,9,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,blas armoa,blas armoa,tigre,2000,700000,491603,2000-02-03,25,key+birth_year
blas riveros,py PAR,"DF,FW",Talleres,25,1998,8.8,0,2,0.3,1.0,9,3,293,378,77.51,8,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,blas riveros,blas riveros,talleres,1998,,,nan,,
braian aguirre,ar ARG,DF,Lanús,23,2000,6.2,0,0,0.2,0.1,8,1,180,268,67.16,16,8,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,braian aguirre,braian aguirre,lanus,2000,,,nan,,
braian galvan,ar ARG,"FW,MF",Banfield,23,2000,9.2,0,1,0.2,0.3,7,2,197,302,65.23,12,10,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,braian galvan,braian galvan,banfield,2000,,,nan,,
braian rivero,ar ARG,"MF,FW",Platense,27,1996,1.3,0,0,0.2,0.1,2,1,34,45,75.56,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,braian rivero,braian rivero,platense,1996,,,nan,,
braian romero,ar ARG,FW,Vélez Sarsfield,32,1991,24.6,12,4,12.4,2.7,66,31,267,387,68.99,16,7,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,braian romero,braian romero,velez sarsfield,1991,1200000,357937,1991-06-15,34,key+birth_year
brandon oviedo,ar ARG,DF,Banfield,19,2005,2.7,0,0,0.0,0.0,0,0,61,72,84.72,7,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,brandon oviedo,brandon oviedo,banfield,2005,200000,1322606,2005-01-25,20,key+birth_year
brian aguirre,ar ARG,"FW,MF",Boca Juniors,20,2003,9.9,2,1,1.7,2.0,16,7,197,309,63.75,15,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,brian aguirre,brian aguirre,boca juniors,2003,4000000,668549,2003-01-06,22,key+birth_year
brian alexis leizza,ar ARG,DF,Tigre,23,2000,11.2,0,0,0.2,0.0,2,1,436,570,76.49,14,10,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,brian alexis leizza,brian leizza,tigre,2000,,,nan,,
brian calderara,ar ARG,DF,Newell's OB,25,1998,2.9,0,0,0.1,0.6,2,1,82,123,66.67,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,brian calderara,brian calderara,newell s ob,1998,125000,830111,1998-01-10,27,first+last+birth_year
brian cuello,ar ARG,"MF,FW",Instituto,26,1997,2.8,0,0,0.3,0.2,5,1,63,93,67.74,5,3,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,brian cuello,brian cuello,instituto,1997,,,nan,,
