player_name,club_name,market_value_eur,player_id,dob,age
Paulo Díaz,CA River Plate,4000000,271478,1994-08-25,31
Sebastián Boselli,CA River Plate,3800000,898352,2003-12-04,21
Juan Carlos Portillo,CA River Plate,3500000,830842,2000-05-18,25
Federico Gattoni,CA River Plate,1300000,660735,1999-02-16,26
Germán Pezzella,CA River Plate,1300000,113133,1991-06-27,34
Marcos Acuña,CA River Plate,2000000,60410,1991-10-28,33
Milton Casco,CA River Plate,100000,115183,1988-04-11,37
Gonzalo Montiel,CA River Plate,5000000,402733,1997-01-01,28
Fabricio Bustos,CA River Plate,3800000,275381,1996-04-28,29
Kevin Castaño,CA River Plate,8000000,857948,2000-09-29,25
Enzo Pérez,CA River Plate,250000,56066,1986-02-22,39
Giuliano Galoppo,CA River Plate,4700000,567249,1999-06-18,26
Matías Galarza Fonda,CA River Plate,3500000,661269,2002-02-11,23
Santiago Lencina,CA River Plate,2500000,1289929,2005-09-04,20
Juan Fernando Quintero,CA River Plate,2000000,122582,1993-01-18,32
Gonzalo Martínez,CA River Plate,1000000,281405,1993-06-13,32
Nacho Fernández,CA River Plate,350000,50669,1990-01-12,35
Juan Cruz Meza,CA River Plate,300000,1231221,2008-03-14,17
Maximiliano Meza,CA River Plate,2200000,282476,1992-12-15,32
Ian Subiabre,CA River Plate,1200000,1074969,2007-01-01,18
Maximiliano Salas,CA River Plate,6000000,442231,1997-12-01,27
Facundo Colidio,CA River Plate,6000000,491705,2000-01-04,25
Sebastián Driussi,CA River Plate,6000000,294853,1996-02-09,29
Miguel Borja,CA River Plate,2800000,211397,1993-01-26,32
Agustín Ruberto,CA River Plate,2500000,1000688,2006-01-14,19
Bautista Dadín,CA River Plate,250000,1000691,2006-05-20,19
Leandro Brey,CA Boca Juniors,1500000,982633,2002-09-21,23
Agustín Marchesín,CA Boca Juniors,700000,54534,1988-03-16,37
Javier García,CA Boca Juniors,25000,7966,1987-01-29,38
Marco Pellegrino,CA Boca Juniors,4000000,776303,2002-07-18,23
Lautaro Di Lollo,CA Boca Juniors,4000000,1019744,2004-03-10,21
Ayrton Costa,CA Boca Juniors,3200000,842910,1999-07-12,26
Nicolás Figal,CA Boca Juniors,500000,334055,1994-04-03,31
Cristian Lema,CA Boca Juniors,125000,147128,1990-03-24,35
Mateo Mendía,CA Boca Juniors,100000,1197773,2004-02-03,21
Lautaro Blanco,CA Boca Juniors,3800000,831161,1999-02-19,26
Frank Fabra,CA Boca Juniors,200000,156561,1991-02-22,34
Juan Barinaga,CA Boca Juniors,3000000,701491,2000-10-10,25
Lucas Blondel,CA Boca Juniors,1500000,503348,1996-09-14,29
Luis Advíncula,CA Boca Juniors,300000,103890,1990-03-02,35
Leandro Paredes,CA Boca Juniors,5000000,166237,1994-06-29,31
Milton Delgado,CA Boca Juniors,5000000,1236677,2005-06-16,20
Tomás Belmonte,CA Boca Juniors,4000000,483446,1998-05-27,27
Ignacio Miramón,CA Boca Juniors,1500000,836518,2003-06-12,22
Rodrigo Battaglia,CA Boca Juniors,900000,89297,1991-07-12,34
Camilo Rey Domenech,CA Boca Juniors,500000,1000671,2006-03-10,19
Williams Alarcón,CA Boca Juniors,5000000,599552,2000-11-29,24
Ander Herrera,CA Boca Juniors,500000,99343,1989-08-14,36
Malcom Braida,CA Boca Juniors,3500000,552185,1997-05-17,28
Carlos Palacios,CA Boca Juniors,4000000,571219,2000-07-20,25
Agustín Martegani,CA Boca Juniors,700000,732507,2000-05-20,25
Kevin Zenón,CA Boca Juniors,7000000,829966,2001-07-30,24
Brian Aguirre,CA Boca Juniors,4000000,668549,2003-01-06,22
Alan Velasco,CA Boca Juniors,3500000,661154,2002-07-27,23
Lucas Janson,CA Boca Juniors,300000,238448,1994-08-16,31
Exequiel Zeballos,CA Boca Juniors,4500000,661132,2002-04-24,23
Miguel Merentiel,CA Boca Juniors,6500000,481367,1996-02-24,29
Milton Giménez,CA Boca Juniors,3500000,730779,1996-08-12,29
Edinson Cavani,CA Boca Juniors,500000,48280,1987-02-14,38
Tomás Marchiori,CA Vélez Sarsfield,3800000,596909,1995-06-20,30
Álvaro Montero,CA Vélez Sarsfield,1500000,292985,1995-03-29,30
Lautaro Garzón,CA Vélez Sarsfield,125000,1171751,2003-07-30,22
Emanuel Mammana,CA Vélez Sarsfield,2800000,275512,1996-02-10,29
Aarón Quirós,CA Vélez Sarsfield,2700000,881010,2001-10-31,23
Lisandro Magallán,CA Vélez Sarsfield,1500000,66736,1993-09-27,32
Elías Gómez,CA Vélez Sarsfield,1300000,302139,1994-06-09,31
Tomás Cavanagh,CA Vélez Sarsfield,125000,832090,2001-01-05,24
Joaquín García,CA Vélez Sarsfield,3000000,829433,2001-08-20,24
Jano Gordon,CA Vélez Sarsfield,1200000,1285237,2004-06-16,21
Agustín Lagos,CA Vélez Sarsfield,700000,698551,2001-10-09,24
Claudio Baeza,CA Vélez Sarsfield,2000000,248346,1993-12-23,31
Agustín Bouzat,CA Vélez Sarsfield,700000,422699,1994-03-28,31
Kevin Vázquez,CA Vélez Sarsfield,450000,1064181,2001-03-19,24
Tobías Andrada,CA Vélez Sarsfield,700000,1384266,2007-02-02,18
Rodrigo Aliendro,CA Vélez Sarsfield,500000,424045,1991-02-16,34
Leonel Roldán,CA Vélez Sarsfield,75000,1285239,2004-10-10,21
Diego Valdés,CA Vélez Sarsfield,3500000,249776,1994-01-30,31
Tomás Galván,CA Vélez Sarsfield,2500000,893850,2000-04-11,25
Manuel Lanzini,CA Vélez Sarsfield,1000000,135853,1993-02-15,32
Thiago Fernández,CA Vélez Sarsfield,5000000,1127730,2004-04-03,21
Matías Pellegrini,CA Vélez Sarsfield,1500000,606267,2000-03-11,25
Maher Carrizo,CA Vélez Sarsfield,10000000,1162160,2006-02-19,19
Imanol Machuca,CA Vélez Sarsfield,2500000,829968,2000-01-15,25
Francisco Pizzini,CA Vélez Sarsfield,1800000,213122,1993-09-19,32
Florián Monzón,CA Vélez Sarsfield,2000000,756993,2001-01-03,24
Braian Romero,CA Vélez Sarsfield,1200000,357937,1991-06-15,34
Michael Santos,CA Vélez Sarsfield,600000,178107,1993-03-13,32
Dilan Godoy,CA Vélez Sarsfield,200000,1379348,2006-02-05,19
Matías Arias,CA Vélez Sarsfield,50000,1379347,2007-05-08,18
Guido Herrera,CA Talleres,2000000,230014,1992-02-29,33
Javier Burrai,CA Talleres,250000,223888,1990-10-09,35
Santino Barbi,CA Talleres,200000,1197308,2005-06-14,20
Rodrigo Guth,CA Talleres,2500000,492313,2000-11-10,24
Santiago Fernández,CA Talleres,2500000,1106217,2005-03-30,20
Matías Catalán,CA Talleres,700000,237051,1992-08-19,33
Juan Gabriel Rodríguez,CA Talleres,700000,189448,1994-02-28,31
José Luis Palomino,CA Talleres,700000,125020,1990-01-05,35
Miguel Navarro,CA Talleres,2200000,509390,1999-02-26,26
Gabriel Báez,CA Talleres,1000000,376858,1995-07-21,30
Augusto Schott,CA Talleres,350000,670566,2000-01-17,25
Matías Galarza,CA Talleres,4000000,909737,2002-03-04,23
Joaquín Mosqueira,CA Talleres,2000000,1118712,2004-11-01,20
Ulises Ortegoza,CA Talleres,2000000,654814,1997-04-19,28
Juan Portilla,CA Talleres,3500000,585747,1998-09-12,27
Mateo Cáceres,CA Talleres,400000,907835,2002-09-25,23
Matías Gómez,CA Talleres,100000,1150517,2005-11-23,19
Emanuel Reynoso,CA Talleres,2200000,439626,1995-11-16,29
Luis Sequeira,CA Talleres,1300000,668550,2003-01-08,22
Rubén Botta,CA Talleres,500000,88542,1990-01-31,35
Luis Angulo,CA Talleres,2700000,885301,2004-03-23,21
Rick,CA Talleres,2500000,645955,1999-09-02,26
Valentín Depietri,CA Talleres,600000,697056,2000-10-31,24
Ignacio Alastra,CA Talleres,50000,1378149,2007-10-29,17
Federico Girotti,CA Talleres,2200000,639149,1999-06-02,26
Nahuel Bustos,CA Talleres,1800000,439629,1998-07-04,27
Orlando Gill,CA San Lorenzo de Almagro,5000000,643259,2000-06-11,25
Facundo Altamirano,CA San Lorenzo de Almagro,800000,362358,1996-03-21,29
Jhohan Romaña,CA San Lorenzo de Almagro,6000000,741963,1998-09-13,27
Gastón Hernández,CA San Lorenzo de Almagro,3500000,665277,1998-01-19,27
Daniel Herrera,CA San Lorenzo de Almagro,1200000,1250374,2004-02-06,21
Nery Domínguez,CA San Lorenzo de Almagro,200000,267413,1990-04-09,35
Elías Báez,CA San Lorenzo de Almagro,3000000,1160854,2004-10-18,20
Teo Rodríguez Pagano,CA San Lorenzo de Almagro,200000,1282698,2005-10-12,20
Ezequiel Herrera,CA San Lorenzo de Almagro,2200000,966316,2003-01-22,22
Nahuel Arias,CA San Lorenzo de Almagro,450000,1131419,2005-01-02,20
Fabricio López,CA San Lorenzo de Almagro,50000,1123346,2002-11-21,22
Ignacio Perruzzi,CA San Lorenzo de Almagro,2000000,1296409,2005-03-22,20
Nicolás Tripichio,CA San Lorenzo de Almagro,1500000,275614,1996-01-05,29
Emanuel Cecchini,CA San Lorenzo de Almagro,400000,324946,1996-12-24,28
Francisco Perruzzi,CA San Lorenzo de Almagro,300000,963139,2001-02-09,24
Juan Rattalino,CA San Lorenzo de Almagro,200000,1296399,2004-06-23,21
Manuel Insaurralde,CA San Lorenzo de Almagro,150000,627237,1999-01-31,26
Agustín Ladstatter,CA San Lorenzo de Almagro,100000,1296393,2005-06-05,20
Facundo Gulli,CA San Lorenzo de Almagro,75000,1296404,2005-09-25,20
Matías Reali,CA San Lorenzo de Almagro,2000000,984692,1997-11-14,27
Ezequiel Cerutti,CA San Lorenzo de Almagro,200000,267882,1992-01-17,33
Andrés Vombergar,CA San Lorenzo de Almagro,3000000,486926,1994-11-20,30
Alexis Cuello,CA San Lorenzo de Almagro,1800000,636783,2000-02-18,25
Diego Herazo,CA San Lorenzo de Almagro,550000,384580,1996-04-14,29
Branco Salinardi,CA San Lorenzo de Almagro,200000,1296408,2007-04-26,18
Facundo Cambeses,Racing Club,1700000,435001,1997-04-09,28
Gabriel Arias,Racing Club,400000,54330,1987-09-13,38
Marco Di Césare,Racing Club,8000000,839029,2002-01-30,23
Santiago Sosa,Racing Club,8000000,576026,1999-05-03,26
Nazareno Colombo,Racing Club,3000000,688207,1999-03-20,26
Franco Pardo,Racing Club,2300000,720716,1997-04-05,28
Santiago Quirós,Racing Club,1000000,961786,2003-03-04,22
Agustín García Basso,Racing Club,700000,269793,1992-03-26,33
Marcos Rojo,Racing Club,300000,93176,1990-03-20,35
Gabriel Rojas,Racing Club,3000000,471639,1997-06-22,28
Fabián Sánchez,Racing Club,175000,830782,2001-08-17,24
Gastón Martirena,Racing Club,6000000,744324,2000-01-05,25
Facundo Mura,Racing Club,1500000,642759,1999-03-23,26
Bruno Zuculini,Racing Club,600000,115507,1993-04-02,32
Alan Forneris,Racing Club,350000,1240382,2005-01-28,20
Juan Ignacio Nardoni,Racing Club,11000000,689211,2002-07-14,23
Richard Sánchez,Racing Club,3000000,542344,1996-03-29,29
Agustín Almendra,Racing Club,2800000,491698,2000-02-11,25
Martín Barrios,Racing Club,500000,565981,1999-01-24,26
Ignacio Rodríguez,Racing Club,1700000,881014,2002-02-22,23
Matías Zaracho,Racing Club,5000000,480774,1998-03-10,27
Adrián Fernández,Racing Club,400000,877208,2001-05-20,24
Duván Vergara,Racing Club,3000000,413658,1996-09-09,29
Tomás Conechny,Racing Club,2200000,401571,1998-03-30,27
Santiago Solari,Racing Club,3000000,866059,1998-01-19,27
Ramiro Degregorio,Racing Club,300000,1133078,2003-02-06,22
Adrián Martínez,Racing Club,3500000,598769,1992-07-07,33
Luciano Vietto,Racing Club,1500000,214316,1993-12-05,31
Elías Torres,Racing Club,1500000,1014363,2001-03-02,24
Adrián Balboa,Racing Club,800000,252209,1994-01-19,31
Nahuel Losada,CA Lanús,3000000,323918,1993-04-17,32
Lautaro Morales,CA Lanús,700000,576023,1999-12-16,25
Ronaldo Dejesús,CA Lanús,2000000,847074,2001-04-21,24
Gonzalo Pérez,CA Lanús,700000,799594,2001-01-04,24
José Canale,CA Lanús,600000,402627,1996-07-20,29
Carlos Izquierdoz,CA Lanús,500000,116968,1988-11-03,36
Franco Ortellado,CA Lanús,175000,756985,2001-05-30,24
Ezequiel Muñoz,CA Lanús,75000,75127,1990-10-08,35
Sasha Marcich,CA Lanús,2000000,867621,1998-05-29,27
Octavio Ontivero,CA Lanús,200000,1000668,2006-01-10,19
Armando Méndez,CA Lanús,1000000,605648,1996-03-31,29
Nicolás Morgantini,CA Lanús,375000,615253,1994-09-11,31
Brian Aguilar,CA Lanús,175000,891733,2003-04-13,22
Felipe Peña Biafore,CA Lanús,2200000,894194,2001-04-05,24
Raúl Loaiza,CA Lanús,800000,260898,1994-06-08,31
Agustín Medina,CA Lanús,3000000,1294453,2006-10-24,18
Agustín Cardozo,CA Lanús,1500000,469762,1997-05-30,28
Juan Ramírez,CA Lanús,250000,190756,1993-05-25,32
Ramiro Carrera,CA Lanús,1000000,282283,1993-10-24,31
Marcelino Moreno,CA Lanús,5000000,456617,1995-06-25,30
Franco Watson,CA Lanús,500000,654733,2002-07-25,23
Dylan Aquino,CA Lanús,1800000,1150206,2005-06-04,20
Lautaro Acosta,CA Lanús,25000,45307,1988-03-14,37
Eduardo Salvio,CA Lanús,1000000,84535,1990-07-13,35
Alexis Segovia,CA Lanús,300000,1013913,2004-06-15,21
Rodrigo Castillo,CA Lanús,2000000,984416,1999-02-26,26
Walter Bou,CA Lanús,1500000,334233,1993-08-25,32
Alexis Canelo,CA Lanús,350000,249789,1992-02-03,33
Bruno Cabrera,CA Lanús,200000,1235860,2003-05-21,22
Felipe Zenobio,Club Atlético Tigre,3000000,826527,2000-05-22,25
Tomás Sultani,Club Atlético Tigre,100000,724866,1998-06-22,27
Tomás Cardona,Club Atlético Tigre,1200000,422700,1995-10-10,30
Alan Barrionuevo,Club Atlético Tigre,600000,865491,1997-01-02,28
Joaquín Laso,Club Atlético Tigre,275000,360797,1990-07-04,35
Ramón Arias,Club Atlético Tigre,250000,131095,1992-07-27,33
Tomás Fernández,Club Atlético Tigre,50000,1153735,2004-01-07,21
Nahuel Banegas,Club Atlético Tigre,1200000,697041,1996-10-06,29
Federico Álvarez,Club Atlético Tigre,400000,289117,1994-08-07,31
Diego Sosa,Club Atlético Tigre,350000,464365,1997-07-28,28
Ángelo Marchese,Club Atlético Tigre,75000,1264276,2004-08-02,21
Martín Ortega,Club Atlético Tigre,1500000,663118,1999-08-20,26
Martín Garay,Club Atlético Tigre,1000000,696730,1999-06-12,26
Guillermo Soto,Club Atlético Tigre,500000,534909,1994-01-19,31
Valentín Moreno,Club Atlético Tigre,100000,1238749,2003-02-19,22
Bruno Leyes,Club Atlético Tigre,1800000,910641,2001-10-30,23
Jalil Elías,Club Atlético Tigre,1700000,376859,1996-04-25,29
Julián López,Club Atlético Tigre,1000000,625203,2000-01-08,25
Jabes Saralegui,Club Atlético Tigre,3000000,1174943,2003-04-12,22
Santiago González,Club Atlético Tigre,2500000,1249779,2003-05-03,22
Simón Rivero,Club Atlético Tigre,500000,912009,2003-04-16,22
Gonzalo Piñeiro,Club Atlético Tigre,150000,1011262,2000-10-03,25
Sebastián Medina,Club Atlético Tigre,300000,840774,2000-03-15,25
Elías Cabrera,Club Atlético Tigre,1200000,668513,2003-02-25,22
Blas Armoa,Club Atlético Tigre,700000,491603,2000-02-03,25
Héctor Fértoli,Club Atlético Tigre,600000,424024,1994-12-03,30
Braian Martínez,Club Atlético Tigre,500000,739995,1999-08-18,26
Ignacio Russo,Club Atlético Tigre,2500000,833130,2000-12-13,24
David Romero,Club Atlético Tigre,700000,668512,2003-03-25,22
Alfio Oviedo,Club Atlético Tigre,400000,518354,1995-12-18,29
Fernando Muslera,Club Estudiantes de La Plata,800000,58088,1986-06-16,39
Fabricio Iacovich,Club Estudiantes de La Plata,200000,1050051,2002-01-29,23
Santiago Núñez,Club Estudiantes de La Plata,2500000,959208,2000-04-29,25
Facundo Rodríguez,Club Estudiantes de La Plata,800000,663491,2000-02-26,25
Leandro González Pírez,Club Estudiantes de La Plata,400000,113130,1992-02-26,33
Juan Cruz Guasone,Club Estudiantes de La Plata,200000,832977,2001-03-27,24
Valente Pierani,Club Estudiantes de La Plata,200000,1000685,2006-02-22,19
Ramiro Funes Mori,Club Estudiantes de La Plata,125000,11111,1991-03-05,34
Santiago Arzamendia,Club Estudiantes de La Plata,2000000,520947,1998-05-05,27
Gastón Benedetti,Club Estudiantes de La Plata,1800000,843156,2001-03-29,24
Eric Meza,Club Estudiantes de La Plata,2000000,830857,1999-04-08,26
Román Gómez,Club Estudiantes de La Plata,400000,1241022,2004-07-14,21
Santiago Ascacíbar,Club Estudiantes de La Plata,7000000,423436,1997-02-25,28
Gabriel Neves,Club Estudiantes de La Plata,2000000,454181,1997-08-11,28
Ezequiel Piovi,Club Estudiantes de La Plata,1000000,487346,1992-08-20,33
Cristian Medina,Club Estudiantes de La Plata,8000000,661133,2002-06-01,23
Alexis Castro,Club Estudiantes de La Plata,1500000,364602,1994-10-18,30
Mikel Amondarain,Club Estudiantes de La Plata,500000,1283311,2005-01-06,20
Facundo Farías,Club Estudiantes de La Plata,3000000,728221,2002-08-28,23
José Sosa,Club Estudiantes de La Plata,100000,20137,1985-06-19,40
Edwuin Cetré,Club Estudiantes de La Plata,2200000,470390,1998-01-01,27
Joaquín Tobio Burgos,Club Estudiantes de La Plata,2000000,1298369,2004-12-14,20
Tiago Palacios,Club Estudiantes de La Plata,4500000,755457,2001-03-28,24
Leo Suárez,Club Estudiantes de La Plata,2500000,294894,1996-03-30,29
Fabricio Pérez,Club Estudiantes de La Plata,100000,1298374,2005-12-07,19
Lucas Alario,Club Estudiantes de La Plata,400000,193782,1992-10-08,33
Guido Carrillo,Club Estudiantes de La Plata,350000,184672,1991-05-25,34
Juan Espínola,CA Newell's Old Boys,800000,532557,1994-11-02,30
Lucas Hoyos,CA Newell's Old Boys,250000,75462,1989-04-29,36
Williams Barlasina,CA Newell's Old Boys,150000,836282,1998-06-29,27
Luca Sosa,CA Newell's Old Boys,1000000,421718,1994-06-11,31
Saúl Salcedo,CA Newell's Old Boys,1000000,353035,1997-08-29,28
Fabián Noguera,CA Newell's Old Boys,900000,267431,1993-03-20,32
Victor Cuesta,CA Newell's Old Boys,300000,104326,1988-11-19,36
Luciano Lollo,CA Newell's Old Boys,75000,76153,1987-03-29,38
Alejo Tabares,CA Newell's Old Boys,350000,756988,2001-06-20,24
Martín Luciano,CA Newell's Old Boys,150000,883670,2003-08-12,22
Brian Calderara,CA Newell's Old Boys,125000,830111,1998-01-10,27
Alejo Montero,CA Newell's Old Boys,800000,649998,1998-05-05,27
Jherson Mosquera,CA Newell's Old Boys,450000,638623,1999-09-18,26
Luca Regiardo,CA Newell's Old Boys,500000,1328380,2006-10-23,18
Martín Fernández,CA Newell's Old Boys,400000,670341,2001-05-08,24
Valentino Acuña,CA Newell's Old Boys,300000,1074966,2006-01-27,19
Éver Banega,CA Newell's Old Boys,750000,12249,1988-06-29,37
David Sotelo,CA Newell's Old Boys,300000,1061839,2003-07-30,22
Lisandro Montenegro,CA Newell's Old Boys,75000,978974,2003-03-27,22
Gaspar Iñíguez,CA Newell's Old Boys,25000,189432,1994-03-26,31
Gonzalo Maroni,CA Newell's Old Boys,2800000,441385,1999-03-18,26
Jerónimo Gómez Mattar,CA Newell's Old Boys,250000,1241453,2008-08-07,17
Pablo Altamirano,CA Newell's Old Boys,50000,1291795,2005-01-30,20
Josué Colmán,CA Newell's Old Boys,2000000,401726,1998-07-25,27
Franco Orozco,CA Newell's Old Boys,1500000,661140,2002-01-09,23
Luciano Herrera,CA Newell's Old Boys,1000000,730802,1996-05-31,29
Giovani Chiaverano,CA Newell's Old Boys,150000,1192376,2005-05-21,20
Facundo Guch,CA Newell's Old Boys,75000,1377866,2007-01-20,18
Carlos González,CA Newell's Old Boys,1500000,366620,1993-02-04,32
Juan Manuel García,CA Newell's Old Boys,350000,457244,1992-11-14,32
Darío Benedetto,CA Newell's Old Boys,200000,92693,1990-05-17,35
Genaro Rossi,CA Newell's Old Boys,125000,978975,2002-02-07,23
Josué Reinatti,Defensa y Justicia,100000,1229028,2003-06-02,22
Facundo Masuero,Defensa y Justicia,75000,907116,2000-05-23,25
Enrique Bologna,Defensa y Justicia,25000,30753,1982-02-13,43
Damián Fernández,Defensa y Justicia,2000000,706562,2001-01-02,24
Lucas Ferreira,Defensa y Justicia,1200000,750733,2000-06-16,25
Emanuel Aguilera,Defensa y Justicia,200000,123015,1989-06-11,36
Samuel Lucero,Defensa y Justicia,100000,1068089,2005-07-29,20
Alexis Soto,Defensa y Justicia,1700000,409272,1993-10-20,31
Rafael Delgado,Defensa y Justicia,100000,167314,1990-01-13,35
Ezequiel Cannavo,Defensa y Justicia,2000000,844791,2002-06-12,23
Lucas Souto,Defensa y Justicia,500000,699689,1998-10-11,27
Tobías Rubio,Defensa y Justicia,500000,849534,2004-07-27,21
Kevin Gutiérrez,Defensa y Justicia,3500000,554799,1997-06-03,28
Benjamín Schamine,Defensa y Justicia,350000,1141726,2003-10-24,21
César Pérez,Defensa y Justicia,3000000,662746,2002-11-29,22
Lucas González,Defensa y Justicia,1500000,688778,2000-06-03,25
Santiago Sosa,Defensa y Justicia,600000,1253317,2005-01-30,20
Matías Miranda,Defensa y Justicia,75000,714744,2000-05-05,25
Agustín Hausch,Defensa y Justicia,250000,668514,2003-05-21,22
Aarón Molinas,Defensa y Justicia,3000000,575999,2000-08-02,25
Lenny Lobato,Defensa y Justicia,1500000,865028,2001-02-03,24
David Barbona,Defensa y Justicia,1000000,356089,1995-02-22,30
Uriel La Roza,Defensa y Justicia,50000,1295834,2005-02-27,20
Matías Sosa,Defensa y Justicia,50000,841182,2001-08-18,24
Juan Miritello,Defensa y Justicia,2000000,728200,1999-02-08,26
Abiel Osorio,Defensa y Justicia,1500000,991773,2002-06-13,23
Juan Gutiérrez,Defensa y Justicia,700000,581321,2002-02-04,23
Nicolás Stefanelli,Defensa y Justicia,400000,333923,1994-11-22,30
Luca Franco,Defensa y Justicia,100000,1033619,2002-11-26,22
Sebastián Meza,CA Huracán,700000,839030,2000-03-14,25
Hernán Galíndez,CA Huracán,350000,77127,1987-03-30,38
Lucas Carrizo,CA Huracán,800000,522204,1997-05-20,28
Hugo Nervo,CA Huracán,600000,107503,1991-01-06,34
Nicolás Goitea,CA Huracán,400000,840768,1997-06-11,28
Nehuén Paz,CA Huracán,300000,284724,1993-04-28,32
Daniel Zabala,CA Huracán,200000,1203749,2003-01-17,22
Fabio Pereyra,CA Huracán,175000,610248,1990-01-31,35
Patricio Pizarro,CA Huracán,75000,1025886,2000-07-27,25
César Ibáñez,CA Huracán,2500000,674391,1999-06-17,26
Leandro Lescano,CA Huracán,200000,1174823,2003-03-03,22
Tomás Guidara,CA Huracán,1200000,355900,1996-03-13,29
Hernán de la Fuente,CA Huracán,500000,552628,1997-01-07,28
Leonel Pérez,CA Huracán,6000000,839031,2004-08-09,21
Emmanuel Ojeda,CA Huracán,600000,471657,1997-11-05,27
Leonardo Gil,CA Huracán,500000,125907,1991-05-31,34
Facundo Waller,CA Huracán,900000,322696,1997-04-09,28
Gabriel Alanís,CA Huracán,700000,342149,1994-03-16,31
Matko Miljevic,CA Huracán,5000000,632797,2001-05-09,24
Agustín Urzi,CA Huracán,1200000,636441,2000-05-04,25
Rodrigo Cabral,CA Huracán,600000,709552,2000-08-08,25
Juan Bisanz,CA Huracán,2000000,866061,2001-08-28,24
Leonardo Sequeira,CA Huracán,700000,384761,1995-04-26,30
Eric Ramírez,CA Huracán,1500000,364945,1996-09-21,29
Matías Tissera,CA Huracán,1200000,503001,1996-09-06,29
Luciano Giménez,CA Huracán,700000,985755,2000-02-18,25
Ramón Ábila,CA Huracán,150000,88049,1989-10-14,36
Matías Pólvera,CA Huracán,50000,932963,2000-12-13,24
Diego Rodríguez,AA Argentinos Juniors,300000,90800,1989-06-25,36
Sergio Romero,AA Argentinos Juniors,200000,30690,1987-02-22,38
Francisco Álvarez,AA Argentinos Juniors,4000000,565766,2000-02-26,25
Tobías Ramírez,AA Argentinos Juniors,3000000,1000684,2006-11-11,18
Mateo Antoni,AA Argentinos Juniors,600000,988661,2003-04-22,22
Érik Godoy,AA Argentinos Juniors,250000,225479,1993-08-16,32
Román Riquelme,AA Argentinos Juniors,100000,909736,2002-05-18,23
Claudio Bravo,AA Argentinos Juniors,1200000,441408,1997-03-13,28
Sebastián Prieto,AA Argentinos Juniors,300000,613708,1993-04-09,32
Leandro Lozano,AA Argentinos Juniors,3500000,665101,1998-12-19,26
Kevin Coronel,AA Argentinos Juniors,350000,1198369,2004-08-11,21
Luciano Sánchez,AA Argentinos Juniors,125000,444495,1994-01-25,31
Federico Fattori,AA Argentinos Juniors,650000,357956,1992-07-22,33
Cristian Ferreira,AA Argentinos Juniors,500000,548468,1999-09-12,26
Juan Cardozo,AA Argentinos Juniors,200000,912696,2004-02-24,21
Lucas Gómez,AA Argentinos Juniors,200000,1225293,2004-06-17,21
Joaquín Gho,AA Argentinos Juniors,2500000,842589,2003-05-14,22
Alan Lescano,AA Argentinos Juniors,6000000,991134,2001-11-11,23
Hernán López Muñoz,AA Argentinos Juniors,4000000,665309,2000-09-07,25
Gabriel Florentín,AA Argentinos Juniors,1200000,675341,1999-03-13,26
Nicolás Oroz,AA Argentinos Juniors,800000,332250,1994-04-01,31
