Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
abdulbasit hawsawi,sa KSA,GK,Damac,27,1996,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27.0,abdulbasit hawsawi,abdulbasit hawsawi,damac,1996,1996.0,,,nan,,
abdulbasit hindi,sa KSA,DF,Al-Ettifaq,27,1997,9.7,0,0,1,0,0.0,0.0,0.0,0.0,10,0.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,abdulbasit hindi,abdulbasit hindi,al ettifaq,1997,1997.0,550000,478528,1997-02-02,28,first+last+birth_year
abduleallah hawsawi,sa KSA,MF,Al-Ittihad,23,2001,4.9,0,0,6,1,0.0,0.0,0.0,0.0,10,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,abduleallah hawsawi,abduleallah hawsawi,al ittihad,2001,2001.0,,,nan,,
abdulelah al khaibari,sa KSA,DF,Al-Riyadh SC,28,1996,28.1,0,1,13,6,0.0,0.0,0.0,0.0,55,0.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,abdulelah al khaibari,abdulelah khaibari,al riyadh sc,1996,1996.0,,,nan,,
abdulelah al-amri,sa KSA,DF,Al-Ittihad,27,1997,14.7,0,1,7,1,0.0,0.0,0.0,0.0,12,0.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,abdulelah al amri,abdulelah amri,al ittihad,1997,1997.0,1200000,509894,1997-01-15,28,first+last+birth_year
abdulellah al-malki,sa KSA,MF,Al-Ettifaq,29,1994,9.1,0,0,6,1,0.0,0.0,0.0,0.0,14,0.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,abdulellah al malki,abdulellah malki,al ettifaq,1994,1994.0,375000,390855,1994-10-11,31,fuzzy_global(97.29729729729729)
abdulfattah adam,sa KSA,FW,Al-Taawoun,29,1995,10.6,4,1,26,13,0.0,0.0,0.0,0.0,1,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,abdulfattah adam,abdulfattah adam,al taawoun,1995,1995.0,275000,265966,1995-01-01,30,first+last+birth_year
abdulfattah asiri,sa KSA,"MF,FW",Al Kholood Saudi Club,30,1994,3.4,0,1,6,1,0.0,0.0,0.0,0.0,1,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,abdulfattah asiri,abdulfattah asiri,al kholood saudi club,1994,1994.0,125000,264236,1994-02-26,31,first+last+birth_year
abdulhadi al-harajin,sa KSA,"MF,FW",Al-Fayha,29,1994,3.7,0,1,8,1,0.0,0.0,0.0,0.0,1,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,abdulhadi al harajin,abdulhadi harajin,al fayha,1994,1994.0,150000,359346,1994-10-27,30,first+last+birth_year
abdulkarim darisi,sa KSA,FW,Al-Ahli,21,2003,2.1,1,0,2,1,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,abdulkarim darisi,abdulkarim darisi,al ahli,2003,2003.0,150000,1188907,2003-04-18,22,first+last+birth_year
abdulla al salem,sa KSA,FW,Al-Khaleej,31,1992,27.0,10,4,59,21,0.0,0.0,0.0,0.0,8,0.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,abdulla al salem,abdulla salem,al khaleej,1992,1992.0,250000,270377,1992-12-19,32,fuzzy_global(96.96969696969697)
abdullah al anazi,sa KSA,MF,Al-Fateh,21,2003,4.5,1,2,9,4,0.0,0.0,0.0,0.0,7,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,abdullah al anazi,abdullah anazi,al fateh,2003,2003.0,100000,970663,2003-01-19,22,first+last+birth_year
abdullah al hamdan,sa KSA,MF,Al-Hilal,24,1999,3.8,2,4,13,6,0.0,0.0,0.0,0.0,5,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,abdullah al hamdan,abdullah hamdan,al hilal,1999,1999.0,350000,68626,1999-09-12,26,first+last+birth_year
abdullah al mugren,sa KSA,MF,Damac,27,1996,1.3,0,0,1,0,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,abdullah al mugren,abdullah mugren,damac,1996,1996.0,,,nan,,
abdullah al qahtani,sa KSA,MF,Damac,25,1999,0.9,0,0,1,0,0.0,0.0,0.0,0.0,1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,abdullah al qahtani,abdullah qahtani,damac,1999,1999.0,100000,315632,1999-01-31,26,first+last+birth_year
abdullah al yousif,sa KSA,DF,Al-Raed,26,1997,10.2,0,0,1,0,0.0,0.0,0.0,0.0,17,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,abdullah al yousif,abdullah yousif,al raed,1997,1997.0,,,nan,,
abdullah al-ammar,sa KSA,DF,Al-Ahli,30,1994,5.6,0,0,2,1,0.0,0.0,0.0,0.0,10,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,abdullah al ammar,abdullah ammar,al ahli,1994,1994.0,500000,369090,1994-03-01,31,first+last+birth_year
abdullah al-fahad,sa KSA,DF,Al-Khaleej,30,1994,15.4,0,0,5,3,0.0,0.0,0.0,0.0,17,0.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,abdullah al fahad,abdullah fahad,al khaleej,1994,1994.0,,,nan,,
abdullah al-hafith,sa KSA,DF,Al-Wehda,31,1992,22.2,1,0,9,1,0.0,0.0,0.0,0.0,20,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,abdullah al hafith,abdullah hafith,al wehda,1992,1992.0,200000,193151,1992-12-25,32,first+last+birth_year
abdullah al-khaibari,sa KSA,MF,Al-Nassr,27,1996,14.1,0,0,5,1,0.0,0.0,0.0,0.0,30,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,abdullah al khaibari,abdullah khaibari,al nassr,1996,1996.0,900000,437903,1996-08-16,29,first+last+birth_year
abdullah al-mayouf,sa KSA,GK,Al-Shabab,37,1987,14.5,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,15.0,1.03,55.0,43.0,76.4,6.0,42.9,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,37.0,abdullah al mayouf,abdullah mayouf,al shabab,1987,1987.0,,,nan,,
abdullah al-owaishir,sa KSA,GK,Al-Wehda,33,1991,26.8,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,1,44.0,1.64,125.0,86.0,68.0,6.0,22.2,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,33.0,abdullah al owaishir,abdullah owaishir,al wehda,1991,1991.0,,,nan,,
abdullah al-rashidi,sa KSA,MF,Al Kholood Saudi Club,0,0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,abdullah al rashidi,abdullah rashidi,al kholood saudi club,0,2024.0,,,nan,,
abdullah hassun,sa KSA,DF,Al-Qadsiah,27,1997,0.3,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,abdullah hassun,abdullah hassun,al qadsiah,1997,1997.0,,,nan,,
abdullah hawsawi,sa KSA,DF,Al Kholood Saudi Club,28,1996,25.6,0,4,9,2,0.0,0.0,0.0,0.0,44,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,abdullah hawsawi,abdullah hawsawi,al kholood saudi club,1996,1996.0,225000,922497,1996-02-01,29,first+last+birth_year
abdullah hazazi,sa KSA,"DF,MF",Al-Raed,29,1995,11.2,0,0,4,1,0.0,0.0,0.0,0.0,12,0.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,abdullah hazazi,abdullah hazazi,al raed,1995,1995.0,450000,153172,1994-02-18,31,fuzzy_global(100.0)
abdullah khateeb,sa KSA,DF,Al-Ettifaq,29,1995,22.7,1,1,8,3,0.0,0.0,0.0,0.0,18,0.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,abdullah khateeb,abdullah khateeb,al ettifaq,1995,1995.0,400000,462162,1995-03-12,30,first+last+birth_year
abdullah madu,sa KSA,DF,Al-Ettifaq,31,1993,26.2,1,0,15,5,0.0,0.0,0.0,0.0,13,0.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,abdullah madu,abdullah madu,al ettifaq,1993,1993.0,550000,265940,1993-07-15,32,first+last+birth_year
abdullah radif,sa KSA,FW,Al-Ettifaq,21,2003,12.8,3,1,28,10,0.0,0.0,0.0,0.0,12,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,abdullah radif,abdullah radif,al ettifaq,2003,2003.0,500000,888633,2003-01-20,22,first+last+birth_year
abdulmajeed al-sulayhem,sa KSA,MF,Al-Nassr,30,1994,6.1,0,1,3,0,0.0,0.0,0.0,0.0,12,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,abdulmajeed al sulayhem,abdulmajeed sulayhem,al nassr,1994,1994.0,,,nan,,
abdulmalek al-shammeri,sa KSA,"MF,DF",Al-Orobah,28,1995,12.5,0,0,4,1,0.0,0.0,0.0,0.0,24,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,abdulmalek al shammeri,abdulmalek shammeri,al orobah,1995,1995.0,,,nan,,
abdulmalik al harbi,sa KSA,MF,Al-Taawoun,19,2005,0.6,0,0,1,0,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,abdulmalik al harbi,abdulmalik harbi,al taawoun,2005,2005.0,75000,1183281,2005-10-06,20,first+last+birth_year
abdulquddus atiah,sa KSA,GK,Al-Taawoun,27,1997,17.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,0,23.0,1.35,80.0,60.0,75.0,4.0,23.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27.0,abdulquddus atiah,abdulquddus atiah,al taawoun,1997,1997.0,300000,564006,1997-03-01,28,first+last+birth_year
abdulrahman al anzi,sa KSA,DF,Al-Orobah,0,0,1.7,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,abdulrahman al anzi,abdulrahman anzi,al orobah,0,2024.0,,,nan,,
abdulrahman al ghamdi,sa KSA,GK,Al-Taawoun,18,2006,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,18.0,abdulrahman al ghamdi,abdulrahman ghamdi,al taawoun,2006,2006.0,100000,1145325,2006-02-13,19,first+last+birth_year
abdulrahman al safari,sa KSA,"MF,DF",Al Kholood Saudi Club,31,1993,15.7,1,1,18,5,0.0,0.0,0.0,0.0,16,0.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,abdulrahman al safari,abdulrahman safari,al kholood saudi club,1993,1993.0,200000,686019,1993-03-31,32,first+last+birth_year
abdulrahman al sanbi,sa KSA,GK,Al-Ahli,23,2001,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,9.0,1.28,26.0,19.0,73.1,1.0,16.7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,23.0,abdulrahman al sanbi,abdulrahman sanbi,al ahli,2001,2001.0,300000,951628,2001-02-03,24,first+last+birth_year
abdulrahman al shammari,0,GK,Al-Riyadh SC,0,0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,12.0,3.0,25.0,14.0,56.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,abdulrahman al shammari,abdulrahman shammari,al riyadh sc,0,2024.0,100000,1177725,1999-08-07,26,key_no_year
abdulrahman al-aboud,sa KSA,MF,Al-Ittihad,29,1995,12.8,7,7,21,13,0.0,0.0,0.0,0.0,25,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,abdulrahman al aboud,abdulrahman aboud,al ittihad,1995,1995.0,1000000,441191,1995-06-01,30,fuzzy_global(95.0)
abdulrahman ghareeb,sa KSA,"MF,FW",Al-Nassr,27,1997,7.1,0,1,12,4,0.0,0.0,0.0,0.0,8,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,abdulrahman ghareeb,abdulrahman ghareeb,al nassr,1997,1997.0,1500000,164593,1997-03-31,28,first+last+birth_year
abdulraouf al duqayl,sa KSA,GK,Al-Fayha,28,1995,4.4,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,12.0,2.71,27.0,17.0,63.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,28.0,abdulraouf al duqayl,abdulraouf duqayl,al fayha,1995,1995.0,100000,1186816,1995-08-04,30,first+last+birth_year
abdurahman al-dossari,sa KSA,MF,Al-Qadsiah,26,1997,0.5,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,abdurahman al dossari,abdurahman dossari,al qadsiah,1997,1997.0,,,nan,,
abdurahman al-obaid,sa KSA,"DF,MF",Damac,31,1993,10.4,0,0,2,0,0.0,0.0,0.0,0.0,18,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,abdurahman al obaid,abdurahman obaid,damac,1993,1993.0,100000,264828,1993-04-30,32,fuzzy_global(97.43589743589743)
adel al mutairi,sa KSA,DF,Al-Shabab,19,2005,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,adel al mutairi,adel mutairi,al shabab,2005,2005.0,,,nan,,
ahmed al ghamdi,sa KSA,MF,Al-Ittihad,22,2001,0.7,0,0,2,1,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,ahmed al ghamdi,ahmed ghamdi,al ittihad,2001,2001.0,650000,671043,2001-09-20,24,first+last+birth_year
ahmed al julaydan,sa KSA,"DF,MF",Al-Fateh,20,2004,13.1,0,2,8,2,0.0,0.0,0.0,0.0,20,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,ahmed al julaydan,ahmed julaydan,al fateh,2004,2004.0,300000,1060901,2004-03-08,21,first+last+birth_year
ahmed al rashidi,sa KSA,GK,Al-Wehda,22,2002,1.2,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,3.0,2.43,7.0,4.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,22.0,ahmed al rashidi,ahmed rashidi,al wehda,2002,2002.0,,,nan,,
ahmed al-kassar,sa KSA,GK,Al-Qadsiah,33,1991,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,2.0,2.0,7.0,6.0,85.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,33.0,ahmed al kassar,ahmed kassar,al qadsiah,1991,1991.0,200000,177956,1991-05-08,34,first+last+birth_year
ahmed assiri,sa KSA,DF,Al-Riyadh SC,32,1991,25.4,1,0,10,2,0.0,0.0,0.0,0.0,17,0.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,ahmed assiri,ahmed assiri,al riyadh sc,1991,1991.0,100000,209499,1991-11-14,33,fuzzy_global(95.65217391304348)
ahmed bahusayn,sa KSA,MF,Al-Taawoun,23,2001,7.5,0,0,6,1,0.0,0.0,0.0,0.0,11,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,ahmed bahusayn,ahmed bahusayn,al taawoun,2001,2001.0,275000,901111,2001-02-09,24,first+last+birth_year
ahmed bamasud,sa KSA,DF,Al-Ettifaq,28,1995,1.1,0,0,1,0,0.0,0.0,0.0,0.0,2,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,ahmed bamasud,ahmed bamasud,al ettifaq,1995,1995.0,700000,514927,1995-11-22,29,fuzzy_global(92.3076923076923)
ahmed haresai,sa KSA,"MF,FW",Damac,23,2000,1.7,0,0,2,1,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,ahmed haresai,ahmed haresai,damac,2000,2000.0,,,nan,,
ahmed sharahili,sa KSA,DF,Al-Ittihad,30,1994,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,ahmed sharahili,ahmed sharahili,al ittihad,1994,1994.0,550000,319552,1994-05-08,31,first+last+birth_year
aiman yahya,sa KSA,MF,Al-Nassr,23,2001,11.5,5,3,19,13,0.0,0.0,0.0,0.0,23,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,aiman yahya,aiman yahya,al nassr,2001,2001.0,,,nan,,
alaa al hejji,sa KSA,MF,Al-Wehda,28,1995,18.3,1,3,15,5,0.0,0.0,0.0,0.0,28,0.0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,alaa al hejji,alaa hejji,al wehda,1995,1995.0,200000,443937,1995-12-03,29,first+last+birth_year
aldry contreras,ve VEN,MF,Al-Fayha,20,2004,0.7,0,0,2,1,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,aldry contreras,aldry contreras,al fayha,2004,2004.0,,,nan,,
alejandro pozuelo,es ESP,"MF,FW",Al-Fayha,32,1991,25.0,4,4,22,9,0.0,0.0,0.0,0.0,22,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,alejandro pozuelo,alejandro pozuelo,al fayha,1991,1991.0,,,nan,,
aleksandar mitrovic,rs SRB,FW,Al-Hilal,29,1994,21.4,19,2,95,46,0.0,0.0,0.0,0.0,11,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,aleksandar mitrovic,aleksandar mitrovic,al hilal,1994,1994.0,,,nan,,
alex collado,es ESP,MF,Al Kholood Saudi Club,25,1999,28.7,5,2,96,32,0.0,0.0,0.0,0.0,41,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,alex collado,alex collado,al kholood saudi club,1999,1999.0,,,nan,,
alex telles,br BRA,DF,Al-Nassr,31,1992,2.0,0,0,4,0,0.0,0.0,0.0,0.0,4,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,alex telles,alex telles,al nassr,1992,1992.0,,,nan,,
alexandru cretu,ro ROU,"DF,MF",Al-Wehda,32,1992,22.0,1,3,22,3,0.0,0.0,0.0,0.0,30,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,alexandru cretu,alexandru cretu,al wehda,1992,1992.0,,,nan,,
alexsander,br BRA,MF,Al-Ahli,20,2003,5.7,0,1,6,2,0.0,0.0,0.0,0.0,14,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,alexsander,alexsander,al ahli,2003,2003.0,,,nan,,
ali abdoulraouf,0,MF,Al-Khaleej,0,0,0.5,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,ali abdoulraouf,ali abdoulraouf,al khaleej,0,2024.0,,,nan,,
ali al asmari,sa KSA,MF,Al-Ahli,27,1997,2.9,1,0,3,2,0.0,0.0,0.0,0.0,9,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,ali al asmari,ali asmari,al ahli,1997,1997.0,300000,509898,1997-01-12,28,first+last+birth_year
ali al hassan,sa KSA,MF,Al-Nassr,27,1997,12.0,2,0,12,4,0.0,0.0,0.0,0.0,11,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,ali al hassan,ali hassan,al nassr,1997,1997.0,550000,141805,1997-03-04,28,first+last+birth_year
ali al hussien,0,MF,Al-Fayha,0,0,1.9,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,ali al hussien,ali hussien,al fayha,0,2024.0,,,nan,,
ali al jassem,sa KSA,MF,Al-Fateh,23,2001,0.6,0,0,1,1,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,ali al jassem,ali jassem,al fateh,2001,2001.0,,,nan,,
ali al masoud,sa KSA,MF,Al-Fateh,20,2004,2.2,1,0,10,3,0.0,0.0,0.0,0.0,3,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,ali al masoud,ali masoud,al fateh,2004,2004.0,125000,970665,2004-01-03,21,first+last+birth_year
ali al shaafi,0,DF,Al-Khaleej,0,0,4.3,0,0,1,1,0.0,0.0,0.0,0.0,8,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,ali al shaafi,ali shaafi,al khaleej,0,2024.0,,,nan,,
ali al-bulaihi,sa KSA,DF,Al-Hilal,34,1989,25.1,4,0,10,6,0.0,0.0,0.0,0.0,11,0.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,ali al bulaihi,ali bulaihi,al hilal,1989,1989.0,300000,229877,1989-11-21,35,fuzzy_global(92.85714285714286)
ali ayesh al-salem,sa KSA,DF,Al-Wehda,25,1998,13.2,1,1,6,2,0.0,0.0,0.0,0.0,20,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,ali ayesh al salem,ali salem,al wehda,1998,1998.0,200000,1058034,1998-08-14,27,first+last+birth_year
